,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
26,HCA,"HCA Healthcare, Inc.",85.16B,-0.87%,786552,64.97B
27,ZTS,Zoetis Inc.,79.61B,-0.75%,2209889,8.54B
28,MCK,McKesson Corporation,69.56B,0.81%,591897,301.51B
29,BDX,"Becton, Dickinson and Company",68.52B,-0.19%,1756746,19.49B
30,EW,Edwards Lifesciences Corporation,56.14B,-1.12%,3900358,6.00B
31,DXCM,"DexCom, Inc.",50.29B,0.74%,3953488,3.62B
32,IQV,IQVIA Holdings Inc.,46.28B,-0.61%,666234,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.57B,0.91%,2316545,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.50B,-1.08%,750769,3.66B
35,A,"Agilent Technologies, Inc.",43.22B,1.56%,1865247,6.74B
36,ALC,Alcon Inc.,42.76B,-1.09%,919358,9.46B
37,HUM,Humana Inc.,41.97B,-0.21%,1166163,106.37B
38,GEHC,GE HealthCare Technologies Inc.,40.71B,1.22%,6520480,19.55B
39,CNC,Centene Corporation,40.68B,-0.76%,3085175,154.00B
40,MRNA,"Moderna, Inc.",39.68B,0.38%,5433508,6.85B
41,HLN,Haleon plc,39.10B,0.97%,4420076,14.31B
42,COR,Cencora,38.52B,0.23%,926670,271.58B
43,VEEV,Veeva Systems Inc.,36.55B,-2.36%,1016412,2.36B
44,BIIB,Biogen Inc.,31.96B,-0.14%,2402070,9.84B
45,WST,"West Pharmaceutical Services, Inc.",29.24B,-2.95%,755406,2.95B
46,MTD,Mettler-Toledo International Inc.,28.45B,2.03%,161502,3.79B
47,RMD,ResMed Inc.,28.20B,-0.89%,896475,4.50B
48,ICLR,ICON PLC,27.53B,0.32%,385774,8.12B
49,CAH,"Cardinal Health, Inc.",26.90B,0.62%,4407648,216.15B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.59B,-0.45%,1502271,7.39B
51,MOH,"Molina Healthcare, Inc.",23.75B,-0.55%,263136,34.07B
52,ALGN,"Align Technology, Inc.",23.61B,-0.81%,697946,3.86B
53,STE,STERIS plc,22.88B,-0.65%,317069,5.41B
54,BNTX,BioNTech SE,22.09B,-0.46%,634928,7.04B
55,ARGX,argenx SE,22.04B,-1.95%,268396,39.48M
56,BAX,Baxter International Inc.,21.13B,-0.98%,2630426,14.81B
57,WAT,Waters Corporation,20.89B,2.72%,795370,2.96B
58,ILMN,"Illumina, Inc.",20.37B,-0.29%,2241402,4.50B
59,GMAB,Genmab A/S,20.04B,-1.19%,996901,2.44B
60,COO,"The Cooper Companies, Inc.",20.02B,-0.78%,1135817,3.67B
61,BGNE,"BeiGene, Ltd.",19.26B,0.65%,342860,2.46B
62,PHG,Koninklijke Philips N.V.,19.24B,-1.82%,674731,20.19B
63,ALNY,"Alnylam Pharmaceuticals, Inc.",18.41B,0.50%,767746,1.83B
64,WBA,"Walgreens Boots Alliance, Inc.",17.99B,0.97%,15843391,142.41B
65,RPRX,Royalty Pharma plc,17.83B,0.80%,3106928,2.35B
66,HOLX,"Hologic, Inc.",17.82B,0.76%,4047398,3.97B
67,LH,Laboratory Corporation of America Holdings,17.59B,0.10%,982653,12.16B
68,BMRN,BioMarin Pharmaceutical Inc.,15.92B,-0.62%,1071352,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.10B,-0.52%,6235116,15.85B
70,DGX,Quest Diagnostics Incorporated,14.20B,0.91%,948490,9.25B
71,VTRS,Viatris Inc.,14.11B,1.02%,14375680,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.84B,-0.04%,1489824,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.38B,-0.59%,426761,4.13B
74,INCY,Incyte Corporation,13.14B,-0.29%,3589431,3.70B
75,RVTY,"Revvity, Inc.",12.96B,0.02%,1080822,2.75B
76,RDY,Dr. Reddy's Laboratories Limited,12.68B,-0.28%,138458,2.99B
77,BRKR,Bruker Corporation,12.64B,0.29%,1141027,2.96B
78,KRTX,"Karuna Therapeutics, Inc.",12.58B,0.03%,1808160,654.00K
79,MEDP,"Medpace Holdings, Inc.",12.27B,-1.94%,389367,1.89B
80,SNN,Smith & Nephew plc,11.96B,-1.71%,641488,5.55B
81,DVA,DaVita Inc.,11.88B,0.48%,896575,12.14B
82,LEGN,Legend Biotech Corporation,11.84B,-3.16%,2508291,285.14M
83,PODD,Insulet Corporation,11.73B,-1.10%,733387,1.70B
84,UHS,"Universal Health Services, Inc.",11.62B,0.56%,753224,14.28B
85,SRPT,"Sarepta Therapeutics, Inc.",11.55B,-0.57%,1167326,1.24B
86,FMS,Fresenius Medical Care AG & Co. KGaA,11.36B,-3.01%,655898,21.62B
87,TECH,Bio-Techne Corporation,11.20B,1.83%,1621090,1.14B
88,UTHR,United Therapeutics Corporation,11.10B,-0.98%,823336,2.33B
89,NTRA,"Natera, Inc.",10.80B,2.06%,1915248,1.08B
90,EXAS,Exact Sciences Corporation,10.63B,-1.40%,1714799,2.50B
91,RGEN,Repligen Corporation,10.59B,-1.89%,490351,638.76M
92,CTLT,"Catalent, Inc.",10.18B,-0.85%,2272198,4.10B
93,TFX,Teleflex Incorporated,10.15B,-1.29%,266533,2.97B
94,THC,Tenet Healthcare Corporation,10.00B,-1.24%,1587698,20.56B
95,SWAV,"ShockWave Medical, Inc.",9.96B,2.91%,704652,730.23M
96,CHE,Chemed Corporation,9.83B,-0.47%,102036,2.26B
97,QGEN,Qiagen N.V.,9.74B,0.05%,751116,1.97B
98,HSIC,"Henry Schein, Inc.",9.56B,0.26%,1460913,12.34B
99,BIO,"Bio-Rad Laboratories, Inc.",9.48B,0.33%,148643,2.67B
100,BIO.B,"Bio-Rad Laboratories, Inc.",9.48B,1.70%,3,-
101,ATR,"AptarGroup, Inc.",9.30B,0.05%,264320,3.49B
102,PEN,"Penumbra, Inc.",8.60B,-3.22%,404407,1.06B
103,ASND,Ascendis Pharma A/S,8.39B,-0.79%,379918,296.35M
104,ROIV,Roivant Sciences Ltd.,8.24B,-0.88%,6831444,123.24M
105,STVN,Stevanato Group S.p.A.,7.93B,1.46%,213572,1.21B
106,ELAN,Elanco Animal Health Incorporated,7.76B,-0.19%,2059164,4.42B
107,CERE,"Cerevel Therapeutics Holdings, Inc.",7.67B,0.21%,2315539,-
108,JAZZ,Jazz Pharmaceuticals plc,7.54B,2.20%,1405102,3.83B
109,PCVX,"Vaxcyte, Inc.",7.50B,0.61%,1340740,-
110,EHC,Encompass Health Corporation,7.49B,-0.48%,1234874,4.80B
111,ACHC,"Acadia Healthcare Company, Inc.",7.28B,-1.37%,1340317,2.93B
112,MASI,Masimo Corporation,7.02B,0.36%,890448,2.05B
113,HQY,"HealthEquity, Inc.",7.00B,-0.71%,845833,971.04M
114,EXEL,"Exelixis, Inc.",6.97B,1.64%,4563606,1.83B
115,GMED,"Globus Medical, Inc.",6.96B,-0.91%,1580968,1.57B
116,ENSG,"The Ensign Group, Inc.",6.95B,0.58%,589244,3.73B
117,VKTX,"Viking Therapeutics, Inc.",6.90B,-3.83%,9320541,-
118,APLS,"Apellis Pharmaceuticals, Inc.",6.84B,0.46%,1009842,396.59M
119,XRAY,DENTSPLY SIRONA Inc.,6.84B,-0.42%,4125982,3.97B
120,CYTK,"Cytokinetics, Incorporated",6.57B,2.26%,20953124,7.53M
121,ITCI,"Intra-Cellular Therapies, Inc.",6.25B,0.33%,1007907,464.37M
122,IONS,"Ionis Pharmaceuticals, Inc.",6.19B,0.88%,1080263,787.65M
123,CRSP,CRISPR Therapeutics AG,5.83B,1.31%,1936287,371.21M
124,RCM,R1 RCM Inc.,5.71B,-1.10%,3657069,2.25B
125,INSP,"Inspire Medical Systems, Inc.",5.70B,0.39%,237302,624.80M
126,BLCO,Bausch + Lomb Corporation,5.60B,0.50%,225934,4.15B
127,BPMC,Blueprint Medicines Corporation,5.54B,3.18%,1120059,249.38M
128,OPCH,"Option Care Health, Inc.",5.48B,-1.82%,2800869,4.30B
129,NUVL,"Nuvalent, Inc.",5.43B,-4.49%,1200162,-
130,MDGL,"Madrigal Pharmaceuticals, Inc.",5.40B,11.00%,2752926,-
131,DOCS,"Doximity, Inc.",5.20B,0.11%,981283,468.33M
132,HALO,"Halozyme Therapeutics, Inc.",5.18B,0.17%,1634097,829.25M
133,RVMD,"Revolution Medicines, Inc.",5.17B,-0.47%,4084184,11.58M
134,BBIO,"BridgeBio Pharma, Inc.",5.04B,0.77%,2006067,9.30M
135,GRFS,"Grifols, S.A.",5.00B,6.42%,3763794,6.45B
136,KRYS,"Krystal Biotech, Inc.",4.89B,0.66%,992469,50.70M
137,ALKS,Alkermes plc,4.80B,-0.45%,7259583,1.66B
138,OGN,Organon & Co.,4.67B,-0.44%,2257481,6.26B
139,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.60B,1.15%,1033970,-
140,IMVT,"Immunovant, Inc.",4.44B,-0.55%,1626062,-
141,TXG,"10x Genomics, Inc.",4.44B,-2.39%,993633,618.73M
142,GKOS,Glaukos Corporation,4.22B,-0.34%,399788,314.71M
143,PRGO,Perrigo Company plc,4.18B,-1.62%,4193525,4.66B
144,MMSI,"Merit Medical Systems, Inc.",4.17B,-0.10%,669179,1.26B
145,SHC,Sotera Health Company,4.08B,2.40%,2673508,1.05B
146,ALVO,Alvotech,4.08B,-0.13%,203830,63.75M
147,LNTH,"Lantheus Holdings, Inc.",4.02B,-2.77%,1330532,1.30B
148,IOVA,"Iovance Biotherapeutics, Inc.",3.89B,-2.11%,17211547,1.19M
149,RARE,Ultragenyx Pharmaceutical Inc.,3.84B,1.54%,1720919,434.25M
150,INSM,Insmed Incorporated,3.82B,-2.24%,2403472,305.21M
151,HAE,Haemonetics Corporation,3.80B,-1.03%,455542,1.27B
152,ITGR,Integer Holdings Corporation,3.78B,-0.90%,166671,1.60B
153,CBAY,"CymaBay Therapeutics, Inc.",3.72B,-0.06%,2766894,31.07M
154,NVST,Envista Holdings Corporation,3.71B,-1.34%,2967380,2.57B
155,SWTX,"SpringWorks Therapeutics, Inc.",3.71B,1.62%,1365866,5.45M
156,PBH,Prestige Consumer Healthcare Inc.,3.71B,0.88%,533121,1.13B
157,EVH,"Evolent Health, Inc.",3.70B,-2.51%,846029,1.96B
158,ACLX,"Arcellx, Inc.",3.67B,1.51%,724748,110.32M
159,SGRY,"Surgery Partners, Inc.",3.62B,-0.97%,917777,2.74B
160,SEM,Select Medical Holdings Corporation,3.62B,0.92%,472996,6.66B
161,AXSM,"Axsome Therapeutics, Inc.",3.51B,8.32%,1586456,270.60M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.50B,3.14%,3406393,181.74M
163,AXNX,"Axonics, Inc.",3.46B,-0.06%,429014,366.38M
164,IBRX,"ImmunityBio, Inc.",3.44B,4.48%,8577549,556.00K
165,PGNY,"Progyny, Inc.",3.42B,-0.65%,977770,1.09B
166,FOLD,"Amicus Therapeutics, Inc.",3.41B,-0.52%,5270728,399.36M
167,BHC,Bausch Health Companies Inc.,3.34B,1.21%,971048,8.76B
168,IDYA,"IDEAYA Biosciences, Inc.",3.34B,-1.12%,1476821,23.39M
169,HCM,HUTCHMED (China) Limited,3.32B,4.95%,144525,838.00M
170,SMMT,Summit Therapeutics Inc.,3.32B,-2.74%,9375311,-
171,XENE,Xenon Pharmaceuticals Inc.,3.31B,0.66%,249741,-
172,AZTA,"Azenta, Inc.",3.30B,0.42%,1695565,641.02M
173,NEOG,Neogen Corporation,3.28B,-0.46%,2787679,918.68M
174,RDNT,"RadNet, Inc.",3.28B,1.32%,1125608,1.62B
175,QDEL,QuidelOrtho Corporation,3.21B,1.96%,1314241,3.00B
176,OSCR,"Oscar Health, Inc.",3.18B,-0.57%,1820822,5.86B
177,IRTC,"iRhythm Technologies, Inc.",3.18B,-2.73%,645884,492.68M
178,ACAD,ACADIA Pharmaceuticals Inc.,3.09B,-1.33%,3560924,726.44M
179,AMED,"Amedisys, Inc.",3.04B,0.46%,394478,2.24B
180,ARVN,"Arvinas, Inc.",3.04B,0.29%,1898893,78.50M
181,IMCR,Immunocore Holdings plc,3.02B,1.15%,267394,249.43M
182,CRNX,"Crinetics Pharmaceuticals, Inc.",2.98B,1.88%,1698051,4.01M
183,OLK,Olink Holding AB (publ),2.98B,-0.08%,381329,158.93M
184,CERT,"Certara, Inc.",2.97B,-1.02%,960160,354.34M
185,INDV,Indivior PLC,2.85B,-,128234,1.09B
186,BEAM,Beam Therapeutics Inc.,2.83B,2.31%,2725500,377.71M
187,DNLI,Denali Therapeutics Inc.,2.80B,1.92%,2108786,330.53M
188,CLDX,"Celldex Therapeutics, Inc.",2.79B,-1.20%,1849073,6.88M
189,MLTX,MoonLake Immunotherapeutics,2.75B,7.93%,766057,-
190,IART,Integra LifeSciences Holdings Corporation,2.73B,-0.43%,913002,1.54B
191,MOR,MorphoSys AG,2.72B,-0.56%,392459,264.75M
192,GDRX,"GoodRx Holdings, Inc.",2.72B,2.07%,1526528,750.27M
193,LIVN,LivaNova PLC,2.71B,-1.02%,671567,1.15B
194,NTLA,"Intellia Therapeutics, Inc.",2.70B,2.83%,1928881,36.28M
195,RXRX,"Recursion Pharmaceuticals, Inc.",2.63B,4.08%,10838056,44.58M
196,TMDX,"TransMedics Group, Inc.",2.58B,-3.65%,898770,241.62M
197,CGON,"CG Oncology, Inc.",2.56B,3.55%,3704419,191.00K
198,MRUS,Merus N.V.,2.54B,-1.57%,562418,43.95M
199,PINC,"Premier, Inc.",2.53B,0.05%,8279049,1.32B
200,EVO,Evotec SE,2.51B,-2.55%,38478,-
201,TDOC,"Teladoc Health, Inc.",2.51B,1.89%,2642782,2.60B
202,FTRE,Fortrea Holdings Inc.,2.49B,0.38%,1078220,3.11B
203,KYMR,"Kymera Therapeutics, Inc.",2.49B,2.71%,1803813,78.59M
204,RCKT,"Rocket Pharmaceuticals, Inc.",2.47B,-1.72%,1879892,-
205,PDCO,"Patterson Companies, Inc.",2.44B,1.45%,2524561,6.57B
206,PRCT,PROCEPT BioRobotics Corporation,2.43B,-0.21%,469785,136.19M
207,CNMD,CONMED Corporation,2.42B,-1.61%,521743,1.24B
208,LFST,"LifeStance Health Group, Inc.",2.42B,-0.31%,1213062,1.06B
209,PRVA,"Privia Health Group, Inc.",2.41B,-0.39%,1389559,1.66B
210,RYTM,"Rhythm Pharmaceuticals, Inc.",2.41B,-0.05%,1529709,77.43M
211,CORT,Corcept Therapeutics Incorporated,2.40B,-1.86%,1592645,482.38M
212,KROS,"Keros Therapeutics, Inc.",2.39B,3.89%,1397248,151.00K
213,ALPN,"Alpine Immune Sciences, Inc.",2.38B,1.37%,3340524,30.80M
214,ICUI,"ICU Medical, Inc.",2.38B,-0.60%,275369,2.26B
215,TGTX,"TG Therapeutics, Inc.",2.37B,-0.91%,3760448,233.66M
216,NMRA,"Neumora Therapeutics, Inc.",2.35B,-0.26%,607583,-
217,NARI,"Inari Medical, Inc.",2.34B,-0.20%,1108374,493.63M
218,VERA,"Vera Therapeutics, Inc.",2.34B,-0.57%,1396496,-
219,DYN,"Dyne Therapeutics, Inc.",2.29B,4.91%,4070056,-
220,DNA,"Ginkgo Bioworks Holdings, Inc.",2.28B,1.89%,24886910,251.46M
221,PTCT,"PTC Therapeutics, Inc.",2.26B,2.28%,2000708,937.82M
222,GLPG,Galapagos NV,2.25B,-0.53%,118172,-
223,GH,"Guardant Health, Inc.",2.24B,-3.43%,2305548,563.95M
224,AMN,"AMN Healthcare Services, Inc.",2.21B,2.42%,2951767,3.79B
225,AGL,"agilon health, inc.",2.18B,1.72%,2531669,4.32B
226,VCEL,Vericel Corporation,2.15B,0.11%,1073936,197.52M
227,AMPH,"Amphastar Pharmaceuticals, Inc.",2.07B,-0.32%,584514,644.40M
228,JANX,"Janux Therapeutics, Inc.",2.04B,4.45%,795498,8.08M
229,SNDX,"Syndax Pharmaceuticals, Inc.",2.01B,3.84%,3130860,-
230,ZLAB,Zai Lab Limited,2.00B,-5.52%,536027,266.72M
231,TWST,Twist Bioscience Corporation,2.00B,-2.66%,928479,262.36M
232,SANA,"Sana Biotechnology, Inc.",1.96B,-1.88%,2381015,-
233,OMI,"Owens & Minor, Inc.",1.95B,1.92%,714839,10.33B
234,MYGN,"Myriad Genetics, Inc.",1.94B,-0.75%,1780616,753.20M
235,NAMS,NewAmsterdam Pharma Company N.V.,1.94B,0.46%,35412,15.66M
236,RNA,"Avidity Biosciences, Inc.",1.93B,1.88%,1683646,9.56M
237,MRVI,"Maravai LifeSciences Holdings, Inc.",1.91B,5.34%,6647975,288.95M
238,CPRX,"Catalyst Pharmaceuticals, Inc.",1.89B,-0.74%,2974678,398.20M
239,AKRO,"Akero Therapeutics, Inc.",1.89B,0.62%,5108293,-
240,NEO,"NeoGenomics, Inc.",1.88B,-0.27%,1340500,591.64M
241,ARDX,"Ardelyx, Inc.",1.87B,0.87%,10954818,124.46M
242,SDGR,"Schrödinger, Inc.",1.87B,1.13%,1135535,216.67M
243,STAA,STAAR Surgical Company,1.86B,-0.82%,938641,322.42M
244,ASTH,Astrana Health Inc,1.86B,-0.52%,316052,1.39B
245,TNDM,"Tandem Diabetes Care, Inc.",1.85B,2.21%,1135360,747.72M
246,GERN,Geron Corporation,1.83B,92.00%,110776691,237.00K
247,SUPN,"Supernus Pharmaceuticals, Inc.",1.83B,-1.17%,638025,607.52M
248,PROK,ProKidney Corp.,1.81B,3.68%,608870,-
249,ATEC,"Alphatec Holdings, Inc.",1.81B,-1.95%,2104977,482.26M
250,INMD,InMode Ltd.,1.80B,-1.97%,1895496,492.05M
251,HRMY,"Harmony Biosciences Holdings, Inc.",1.77B,1.98%,1279905,582.02M
252,MORF,"Morphic Holding, Inc.",1.73B,0.03%,657772,521.00K
253,RXST,"RxSight, Inc.",1.71B,2.14%,580877,89.08M
254,KURA,"Kura Oncology, Inc.",1.71B,1.64%,3013503,-
255,AMRX,"Amneal Pharmaceuticals, Inc.",1.69B,2.04%,1704981,2.39B
256,PTGX,"Protagonist Therapeutics, Inc.",1.69B,2.22%,1329441,60.00M
257,AGIO,"Agios Pharmaceuticals, Inc.",1.68B,1.63%,1186888,26.82M
258,RCUS,"Arcus Biosciences, Inc.",1.66B,3.60%,684724,117.00M
259,INBX,"Inhibrx, Inc.",1.66B,0.03%,1493272,1.80M
260,GPCR,Structure Therapeutics Inc.,1.64B,0.20%,342238,-
261,APGE,"Apogee Therapeutics, Inc.",1.62B,4.79%,3227029,-
262,USPH,"U.S. Physical Therapy, Inc.",1.61B,0.13%,74913,604.80M
263,FDMT,"4D Molecular Therapeutics, Inc.",1.60B,7.29%,1491821,20.72M
264,ADUS,Addus HomeCare Corporation,1.59B,-1.32%,174860,1.06B
265,VCYT,"Veracyte, Inc.",1.58B,-0.75%,2382910,361.05M
266,TARO,Taro Pharmaceutical Industries Ltd.,1.58B,0.10%,36124,610.83M
267,EWTX,"Edgewise Therapeutics, Inc.",1.58B,-0.88%,3687259,-
268,DVAX,Dynavax Technologies Corporation,1.57B,0.25%,5254674,232.28M
269,ATRC,"AtriCure, Inc.",1.55B,-1.17%,647511,399.25M
270,NVCR,NovoCure Limited,1.51B,-4.31%,1110667,509.34M
271,LMAT,"LeMaitre Vascular, Inc.",1.51B,-0.98%,190721,193.48M
272,IRON,"Disc Medicine, Inc.",1.49B,-1.98%,1029208,-
273,UFPT,"UFP Technologies, Inc.",1.47B,0.71%,62867,400.07M
274,OCUL,"Ocular Therapeutix, Inc.",1.45B,2.16%,6825547,58.44M
275,AVDL,Avadel Pharmaceuticals plc,1.45B,-1.12%,685533,27.96M
276,KNSA,"Kiniksa Pharmaceuticals, Ltd.",1.44B,-1.77%,730531,270.26M
277,SLNO,"Soleno Therapeutics, Inc.",1.42B,3.16%,788147,-
278,VIR,"Vir Biotechnology, Inc.",1.42B,2.28%,1402223,86.18M
279,NHC,National HealthCare Corporation,1.42B,-0.87%,216254,1.14B
280,XNCR,"Xencor, Inc.",1.41B,4.81%,2347553,168.34M
281,BTSG,"BrightSpring Health Services, Inc.",1.41B,0.12%,10457696,8.83B
282,IRWD,"Ironwood Pharmaceuticals, Inc.",1.40B,0.56%,14508337,442.74M
283,PRTA,Prothena Corporation plc,1.40B,-1.55%,1464211,91.37M
284,ANIP,"ANI Pharmaceuticals, Inc.",1.39B,-0.08%,304759,486.82M
285,WRBY,Warby Parker Inc.,1.39B,0.17%,1378331,669.77M
286,ABCL,AbCellera Biologics Inc.,1.38B,0.21%,994527,38.03M
287,PCRX,"Pacira BioSciences, Inc.",1.37B,0.51%,1169594,674.98M
288,ADMA,"ADMA Biologics, Inc.",1.37B,-0.50%,3589760,258.22M
289,AHCO,AdaptHealth Corp.,1.35B,1.28%,1720348,3.20B
290,AGTI,"Agiliti, Inc.",1.35B,0.20%,519012,1.17B
291,AUTL,Autolus Therapeutics plc,1.32B,2.11%,2005665,5.52M
292,ESTA,Establishment Labs Holdings Inc.,1.31B,1.50%,245339,165.15M
293,MIRM,"Mirum Pharmaceuticals, Inc.",1.31B,-4.97%,2243798,186.37M
294,TLRY,"Tilray Brands, Inc.",1.31B,8.12%,21490514,700.50M
295,IMNM,"Immunome, Inc.",1.31B,0.18%,489527,10.19M
296,ARQT,"Arcutis Biotherapeutics, Inc.",1.28B,-2.56%,13994477,59.61M
297,LGND,Ligand Pharmaceuticals Incorporated,1.27B,-1.17%,745785,-
298,OMCL,"Omnicell, Inc.",1.27B,0.36%,1554978,1.15B
299,VRNA,Verona Pharma plc,1.26B,0.71%,263024,-
300,PHR,"Phreesia, Inc.",1.26B,4.76%,1228076,356.30M
301,DCPH,"Deciphera Pharmaceuticals, Inc.",1.26B,-2.01%,1326788,163.36M
302,DAWN,"Day One Biopharmaceuticals, Inc.",1.26B,1.41%,1501965,-
303,PHVS,Pharvaris N.V.,1.26B,-1.39%,118279,-
304,COLL,"Collegium Pharmaceutical, Inc.",1.24B,2.79%,1276955,566.77M
305,IMTX,Immatics N.V.,1.23B,0.08%,179831,80.56M
306,MNKD,MannKind Corporation,1.22B,-0.67%,4515807,198.96M
307,KYTX,"Kyverna Therapeutics, Inc.",1.21B,0.58%,731413,7.03M
308,LQDA,Liquidia Corporation,1.21B,3.79%,1616867,17.49M
309,SAGE,"Sage Therapeutics, Inc.",1.20B,0.81%,1572365,86.46M
310,TARS,"Tarsus Pharmaceuticals, Inc.",1.19B,7.31%,730339,17.45M
311,ETNB,"89bio, Inc.",1.18B,7.22%,4404437,-
312,VERV,"Verve Therapeutics, Inc.",1.15B,1.54%,3728372,11.76M
313,MDXG,"MiMedx Group, Inc.",1.15B,1.03%,1739759,321.48M
314,BKD,Brookdale Senior Living Inc.,1.14B,2.21%,2870954,3.02B
315,BLTE,"Belite Bio, Inc",1.13B,1.75%,29237,-
316,RGNX,REGENXBIO Inc.,1.10B,1.56%,1028171,90.24M
317,VRDN,"Viridian Therapeutics, Inc.",1.09B,-0.93%,3550255,314.00K
318,EYPT,"EyePoint Pharmaceuticals, Inc.",1.07B,-1.20%,2774408,46.02M
319,CNTA,Centessa Pharmaceuticals plc,1.05B,2.67%,214985,-
320,RLAY,"Relay Therapeutics, Inc.",1.05B,-2.69%,3715780,25.55M
321,PACB,"Pacific Biosciences of California, Inc.",1.05B,-3.07%,6483493,200.52M
322,SLN,Silence Therapeutics plc,1.05B,-4.15%,217441,32.12M
323,SRRK,Scholar Rock Holding Corporation,1.04B,-2.23%,4139731,-
324,BCRX,"BioCryst Pharmaceuticals, Inc.",1.03B,2.25%,9799248,331.41M
325,ORIC,"ORIC Pharmaceuticals, Inc.",1.02B,0.53%,2175504,-
326,ZNTL,"Zentalis Pharmaceuticals, Inc.",1.01B,1.52%,2306959,-
327,QTRX,Quanterix Corporation,1.00B,0.64%,382964,122.37M
328,MGNX,"MacroGenics, Inc.",1.00B,-0.81%,4213605,58.75M
329,TVGN,Tevogen Bio Holdings Inc,996.10M,-5.08%,32257,-
330,SYRE,"Spyre Therapeutics, Inc.",990.58M,8.23%,1789847,886.00K
331,ARCT,Arcturus Therapeutics Holdings Inc.,977.29M,-0.16%,694506,166.80M
332,DH,Definitive Healthcare Corp.,952.38M,-2.47%,591540,251.42M
333,NRC,National Research Corporation,947.02M,0.08%,75605,148.58M
334,ALHC,"Alignment Healthcare, Inc.",943.00M,3.53%,1678286,1.82B
335,CRGX,"CARGO Therapeutics, Inc.",941.12M,11.36%,3748563,-
336,INVA,"Innoviva, Inc.",930.71M,0.95%,1891657,310.46M
337,TYRA,"Tyra Biosciences, Inc.",929.12M,-1.41%,371777,-
338,TNGX,"Tango Therapeutics, Inc.",927.09M,-0.66%,3180688,37.51M
339,PLRX,"Pliant Therapeutics, Inc.",897.56M,1.95%,577280,1.58M
340,SAVA,"Cassava Sciences, Inc.",894.33M,2.90%,608702,-
341,CTKB,"Cytek Biosciences, Inc.",892.22M,1.91%,1224562,193.02M
342,HCSG,"Healthcare Services Group, Inc.",891.83M,-0.17%,992187,1.67B
343,AVNS,"Avanos Medical, Inc.",882.02M,0.58%,308274,673.30M
344,SPRY,"ARS Pharmaceuticals, Inc.",877.41M,1.78%,2225439,1.35M
345,BCYC,Bicycle Therapeutics plc,868.97M,3.57%,156277,26.98M
346,EOLS,"Evolus, Inc.",865.27M,-1.21%,495870,202.09M
347,SLP,"Simulations Plus, Inc.",858.88M,0.84%,122448,62.11M
348,HLVX,"HilleVax, Inc.",857.33M,1.69%,224212,-
349,EXAI,Exscientia plc,830.85M,-0.75%,3279435,29.47M
350,AORT,"Artivion, Inc.",828.21M,-1.69%,254309,354.00M
351,CABA,"Cabaletta Bio, Inc.",812.42M,-1.16%,2621488,-
352,PRME,"Prime Medicine, Inc.",804.19M,3.99%,970912,-
353,CRON,Cronos Group Inc.,802.63M,6.06%,2993173,87.24M
